sample	site	type	coassembly_group	raw_r1	raw_r2
gy2021_HX_sur_t1	HX	surface	HX_surface	RAW_DIR/P1-LDL2326_L1_1.fq.gz	RAW_DIR/P1-LDL2326_L1_2.fq.gz
gy2021_HX_sur_t2	HX	surface	HX_surface	RAW_DIR/P2-LDL2327_L1_1.fq.gz	RAW_DIR/P2-LDL2327_L1_2.fq.gz
gy2021_HX_sur_t3	HX	surface	HX_surface	RAW_DIR/P3-LDL2328_L1_1.fq.gz	RAW_DIR/P3-LDL2328_L1_2.fq.gz
gy2021_HX_sur_t4	HX	surface	HX_surface	RAW_DIR/P4-LDL2329_L1_1.fq.gz	RAW_DIR/P4-LDL2329_L1_2.fq.gz
gy2021_HX_sur_t5	HX	surface	HX_surface	RAW_DIR/P5-LDL2330_L1_1.fq.gz	RAW_DIR/P5-LDL2330_L1_2.fq.gz
gy2021_HX_sur_t6	HX	surface	HX_surface	RAW_DIR/P6-LDL2331_L1_1.fq.gz	RAW_DIR/P6-LDL2331_L1_2.fq.gz
gy2021_HX_sur_t7	HX	surface	HX_surface	RAW_DIR/P7-LDL2332_L1_1.fq.gz	RAW_DIR/P7-LDL2332_L1_2.fq.gz
gy2021_HX_sur_t8	HX	surface	HX_surface	RAW_DIR/P8-LDL2333_L1_1.fq.gz	RAW_DIR/P8-LDL2333_L1_2.fq.gz
gy2021_HX_sur_t10	HX	surface	HX_surface	RAW_DIR/TODO_HX_sur_t10_1.fq.gz	RAW_DIR/TODO_HX_sur_t10_2.fq.gz
gy2021_HX_sur_t11	HX	surface	HX_surface	RAW_DIR/TODO_HX_sur_t11_1.fq.gz	RAW_DIR/TODO_HX_sur_t11_2.fq.gz
gy2021_GX_sur_t1	GX	surface	GX_surface	RAW_DIR/P9-LDL2334_L1_1.fq.gz	RAW_DIR/P9-LDL2334_L1_2.fq.gz
gy2021_GX_sur_t2	GX	surface	GX_surface	RAW_DIR/P10-LDL2335_L1_1.fq.gz	RAW_DIR/P10-LDL2335_L1_2.fq.gz
